crime,address,city,department,date,time
Burglary,400 block W Seneca Tpke,Syracuse,Syracuse,4/3/2016,4:49 a.m.
Burglary,400 block W Seneca Tpke,Syracuse,Syracuse,4/3/2016,4:45 a.m.-4:55 a.m.
Larceny,6400 block Basile Row,E Syracuse,DeWitt,4/3/2016,5:10 p.m.-5:18 p.m.
Larceny,1100 block N Salina St,Syracuse,Syracuse,4/3/2016,4:52 a.m.
Larceny,200 block Wall St,Syracuse,Syracuse,4/3/2016,5:00 p.m.-4:00 p.m.
Aggravated assault,600 block N Geddes St,Syracuse,Syracuse,4/2/2016,1:13 a.m.
Aggravated assault,0 block Destiny Usa Dr,Syracuse,Syracuse,4/2/2016,4:40 p.m.
Aggravated assault,200 block Pacific Av,Syracuse,Syracuse,4/2/2016,5:33 p.m.
Aggravated assault,1800 block South Av,Syracuse,Syracuse,4/2/2016,7:44 p.m.
Burglary,300 block N Salina St,Syracuse,Syracuse,4/2/2016,8:03 a.m.
Burglary,800 block Erie Blvd W,Syracuse,Syracuse,4/2/2016,4:30 p.m.-10:15 a.m.
Burglary,200 block Cayuga St,Syracuse,Syracuse,4/2/2016,9:17 p.m.-9:40 p.m.
Larceny,5600 block Thompson Rd,DeWitt,DeWitt,4/2/2016,7:00 a.m.
Larceny,100 block Old Liverpool Rd,Liverpool,Onondaga County,4/2/2016,1:19 p.m.-3:31 p.m.
Larceny,400 block Electronics Pkwy,Liverpool,Onondaga County,4/2/2016,2:55 p.m.
Larceny,300 block Prospect Av,Syracuse,Syracuse,4/2/2016,8:00 p.m.-11:00 p.m.
Vehicle theft,700 block Livingston Av,Syracuse,Syracuse,4/2/2016,8:50 p.m.-11:30 p.m.
Burglary,300 block Green St,Syracuse,Syracuse,4/1/2016,9:00 p.m.-7:00 a.m.
Burglary,100 block Whitwell Dr,Syracuse,Syracuse,4/1/2016,4:40 p.m.
Larceny,6400 block Basile Row,East Syracuse,DeWitt,4/1/2016,6:30 p.m.-6:45 p.m.
Larceny,2800 block Brewerton Rd,Mattydale,Onondaga County,4/1/2016,1:30 p.m.
Larceny,400 block Kirkpatrick St,Syracuse,Syracuse,4/1/2016,2:30 a.m.-2:38 a.m.
Larceny,4700 block Onondaga Blvd,Syracuse,Syracuse,4/1/2016,9:50 a.m.
Larceny,1100 block S Geddes St,Syracuse,Syracuse,4/1/2016,9:27 a.m.
Larceny,500 block Butternut St,Syracuse,Syracuse,4/1/2016,5:00 p.m.-5:30 p.m.
Larceny,100 block Simon Dr,Syracuse,Syracuse,4/1/2016,11:21 a.m.
Robbery,100 block Sabine St,Syracuse,Syracuse,4/1/2016,3:05 a.m.
Aggravated assault,300 block Oakwood Av,Syracuse,Syracuse,3/31/2016,2:14 p.m.
Aggravated assault,1000 block N Townsend St,Syracuse,Syracuse,3/31/2016,7:20 p.m.
Aggravated assault,2000 block E Genesee St,Syracuse,Syracuse,3/31/2016,11:25 p.m.
Burglary,4300 block Plantation Blvd,Liverpool,Onondaga County,3/31/2016,11:14 p.m.
Burglary,100 block Wood Av,Syracuse,Syracuse,3/31/2016,1:20 p.m.-2:30 p.m.
Burglary,100 block Beattie St,Syracuse,Syracuse,3/31/2016,2:00 p.m.-5:00 p.m.
Larceny,8100 block Toscano Dr,Clay,Onondaga County,3/31/2016,12:00 a.m.-6:00 p.m.
Larceny,6700 block E Genesee St,Fayetteville,DeWitt,3/31/2016,12:45 p.m.
Larceny,4700 block Onondaga Blvd,Syracuse,Geddes,3/31/2016,3:00 p.m.-9:16 a.m.
Larceny,100 block Julian Pl,Syracuse,Syracuse,3/31/2016,5:00 p.m.-5:15 p.m.
Larceny,400 block S Warren St,Syracuse,Syracuse,3/31/2016,6:00 p.m.
Larceny,200 block N State St,Syracuse,Syracuse,3/31/2016,12:00 p.m.
Larceny,300 block Burt St,Syracuse,Syracuse,3/31/2016,9:00 p.m.
Robbery,200 block Hubbell Av,Syracuse,Syracuse,3/31/2016,10:25 p.m.
Aggravated assault,300 block South Av,Syracuse,Syracuse,3/30/2016,5:41 p.m.
Aggravated assault,1400 block Midland Av,Syracuse,Syracuse,3/30/2016,8:34 p.m.
Aggravated assault,700 block Irving Av,Syracuse,Syracuse,3/30/2016,9:35 p.m.
Burglary,900 block Ackerman Av,Syracuse,Syracuse,3/30/2016,12:17 p.m.
Burglary,700 block Bear St,Syracuse,Syracuse,3/30/2016,4:30 p.m.-4:45 p.m.
Larceny,9600 block Linda Av,Brewerton,Cicero,3/30/2016,12:00 p.m.-9:07 p.m.
Larceny,3800 block St Rt 31,Clay,Onondaga County,3/30/2016,11:15 a.m.
Larceny,6400 block Basile Row,East Syracuse,DeWitt,3/30/2016,3:18 p.m.
Larceny,4700 block Onondaga Blvd,Syracuse,Onondaga County,3/30/2016,1:44 a.m.
Larceny,100 block Valley Dr,Syracuse,Syracuse,3/30/2016,1:33 p.m.
Larceny,5900 block E Taft Rd,Syracuse,Onondaga County,3/30/2016,12:01 a.m.-3:00 p.m.
Larceny,500 block Butternut St,Syracuse,Syracuse,3/30/2016,4:27 p.m.-4:32 p.m.
Larceny,0 block Destiny Usa Dr,Syracuse,Syracuse,3/30/2016,12:00 p.m.
Larceny,2300 block W Genesee St,Syracuse,Solvay,3/30/2016,5:00 p.m.
Larceny,400 block Salt Springs Rd,Syracuse,Syracuse,3/30/2016,7:00 p.m.-3:45 p.m.
